trial_id,status,duration_s,cfg_budget_frac,cfg_experiment,cfg_input_len,cfg_layer,cfg_num_heads,cfg_num_layers,cfg_prompt,metric_avg_entropy,metric_avg_top5_mass,metric_avg_top_prob,metric_budget_frac,metric_budget_tokens,metric_entropy_max,metric_entropy_mean,metric_entropy_min,metric_entropy_std,metric_focused_head_count,metric_h2o_quality,metric_h2o_vs_window,metric_layer,metric_max_top_prob,metric_memory_saved_pct,metric_min_top_prob,metric_most_diffuse_head_entropy,metric_most_focused_head_entropy,metric_nonfinite_token_steps,metric_num_tokens,metric_seq_len,metric_sink_mass_max,metric_sink_mass_mean,metric_sink_quality,metric_skip_rate_50,metric_skip_rate_80,metric_skip_rate_90,metric_skip_rate_95,metric_skip_rate_99,metric_sparsity_mean,metric_valid_tokens,metric_window_quality
real_model_analysis_phi_2_t0064,completed,0.0000,0.2,kv_cache_real,,29,,,code_simple,,,,0.2,9,,,,,,0.6322874202817182,28.80923104364007,29,,80.0,,,,,,47,,,0.32996291814447115,,,,,,,,0.0219473896864492
real_model_analysis_phi_2_t0065,completed,0.0000,0.2,kv_cache_real,,30,,,code_simple,,,,0.2,9,,,,,,0.6433612226994031,20.190811230813367,30,,80.0,,,,,,47,,,0.3510951390988014,,,,,,,,0.0318640601085688
real_model_analysis_phi_2_t0066,completed,0.0000,0.2,kv_cache_real,,31,,,code_simple,,,,0.2,9,,,,,,0.8161051710898946,47.624335548584476,31,,80.0,,,,,,47,,,0.26191917164150824,,,,,,,,0.01713630566577325
real_model_analysis_phi_2_t0067,completed,0.0000,0.3,kv_cache_real,,0,,,code_simple,,,,0.3,14,,,,,,0.5592183762771483,3.678209125577793,0,,70.0,,,,,,47,,,0.282738329792818,,,,,,,,0.15203550347053835
real_model_analysis_phi_2_t0068,completed,0.0000,0.3,kv_cache_real,,1,,,code_simple,,,,0.3,14,,,,,,0.705400144180892,5.768586541555289,1,,70.0,,,,,,47,,,0.2539146930263491,,,,,,,,0.12228301319558718
real_model_analysis_phi_2_t0069,completed,0.0000,0.3,kv_cache_real,,2,,,code_simple,,,,0.3,14,,,,,,0.858382226802062,23.283270109776314,2,,70.0,,,,,,47,,,0.36516538394359266,,,,,,,,0.03686691013568749
real_model_analysis_phi_2_t0070,completed,0.0000,0.3,kv_cache_real,,3,,,code_simple,,,,0.3,14,,,,,,0.9222084626355254,44.44440902172626,3,,70.0,,,,,,47,,,0.39746957439912783,,,,,,,,0.02074970694704731
real_model_analysis_phi_2_t0071,completed,0.0000,0.3,kv_cache_real,,4,,,code_simple,,,,0.3,14,,,,,,0.9258675703614433,46.68973422407735,4,,70.0,,,,,,47,,,0.4050674475730627,,,,,,,,0.019830217193311506
real_model_analysis_phi_2_t0072,completed,0.0000,0.3,kv_cache_real,,5,,,code_simple,,,,0.3,14,,,,,,0.894575317026927,31.761522285243334,5,,70.0,,,,,,47,,,0.41913151179476527,,,,,,,,0.028165379133686993
real_model_analysis_phi_2_t0073,completed,0.0000,0.3,kv_cache_real,,6,,,code_simple,,,,0.3,14,,,,,,0.9148163106095125,42.977462308294506,6,,70.0,,,,,,47,,,0.42095032839156554,,,,,,,,0.021285954578871356
real_model_analysis_phi_2_t0074,completed,0.0000,0.3,kv_cache_real,,7,,,code_simple,,,,0.3,14,,,,,,0.9194122705526135,47.63596432898703,7,,70.0,,,,,,47,,,0.4245347743845995,,,,,,,,0.019300801054491105
real_model_analysis_phi_2_t0075,completed,0.0000,0.3,kv_cache_real,,8,,,code_simple,,,,0.3,14,,,,,,0.9342853465187752,59.12096801502834,8,,70.0,,,,,,47,,,0.4117799924489517,,,,,,,,0.015802943995796605
real_model_analysis_phi_2_t0076,completed,0.0000,0.3,kv_cache_real,,9,,,code_simple,,,,0.3,14,,,,,,0.9178189626296802,42.10787848505557,9,,70.0,,,,,,47,,,0.4099129363157041,,,,,,,,0.02179684647269564
real_model_analysis_phi_2_t0077,completed,0.0000,0.3,kv_cache_real,,10,,,code_simple,,,,0.3,14,,,,,,0.9089939252664518,37.204267449212985,10,,70.0,,,,,,47,,,0.4268463939360613,,,,,,,,0.02443251776176769
real_model_analysis_phi_2_t0078,completed,0.0000,0.3,kv_cache_real,,11,,,code_simple,,,,0.3,14,,,,,,0.8921378827381815,33.229731111106496,11,,70.0,,,,,,47,,,0.4224897808513909,,,,,,,,0.026847580552344555
real_model_analysis_phi_2_t0079,completed,0.0000,0.3,kv_cache_real,,12,,,code_simple,,,,0.3,14,,,,,,0.9095167088555814,36.54780997195038,12,,70.0,,,,,,47,,,0.42423380612838224,,,,,,,,0.02488566919751457
real_model_analysis_phi_2_t0080,completed,0.0000,0.3,kv_cache_real,,13,,,code_simple,,,,0.3,14,,,,,,0.9220757759046675,44.25528367395634,13,,70.0,,,,,,47,,,0.42831891326269883,,,,,,,,0.020835382791756844
real_model_analysis_phi_2_t0081,completed,0.0000,0.3,kv_cache_real,,14,,,code_simple,,,,0.3,14,,,,,,0.9023502390169869,30.415428580612573,14,,70.0,,,,,,47,,,0.4281794128866272,,,,,,,,0.029667516820465374
real_model_analysis_phi_2_t0082,completed,0.0000,0.3,kv_cache_real,,15,,,code_simple,,,,0.3,14,,,,,,0.8973312366207757,30.740865039058974,15,,70.0,,,,,,47,,,0.42565901366583137,,,,,,,,0.029190175210770337
real_model_analysis_phi_2_t0083,completed,0.0000,0.3,kv_cache_real,,16,,,code_simple,,,,0.3,14,,,,,,0.9048042191924296,30.83799074315808,16,,70.0,,,,,,47,,,0.42214930738798595,,,,,,,,0.02934056977733465
real_model_analysis_phi_2_t0084,completed,0.0000,0.3,kv_cache_real,,17,,,code_simple,,,,0.3,14,,,,,,0.9134735943328539,31.731034675980833,17,,70.0,,,,,,47,,,0.42729793585502285,,,,,,,,0.02878801790300012
real_model_analysis_phi_2_t0085,completed,0.0000,0.3,kv_cache_real,,18,,,code_simple,,,,0.3,14,,,,,,0.902432788569745,31.800338101565252,18,,70.0,,,,,,47,,,0.42654522270970613,,,,,,,,0.028378087858296264
real_model_analysis_phi_2_t0086,completed,0.0000,0.3,kv_cache_real,,19,,,code_simple,,,,0.3,14,,,,,,0.9011552952520401,35.48447754775226,19,,70.0,,,,,,47,,,0.4115004390998534,,,,,,,,0.025395760555846848
real_model_analysis_phi_2_t0087,completed,0.0000,0.3,kv_cache_real,,20,,,code_simple,,,,0.3,14,,,,,,0.9243192632755551,36.99114763989169,20,,70.0,,,,,,47,,,0.41791673606085783,,,,,,,,0.024987580063040766
real_model_analysis_phi_2_t0088,completed,0.0000,0.3,kv_cache_real,,21,,,code_simple,,,,0.3,14,,,,,,0.9080969430959743,39.11979308202427,21,,70.0,,,,,,47,,,0.40450406364564095,,,,,,,,0.02321323482442572
real_model_analysis_phi_2_t0089,completed,0.0000,0.3,kv_cache_real,,22,,,code_simple,,,,0.3,14,,,,,,0.9361405465699945,56.32969124562086,22,,70.0,,,,,,47,,,0.39426198734309537,,,,,,,,0.016618953980912708
real_model_analysis_phi_2_t0090,completed,0.0000,0.3,kv_cache_real,,23,,,code_simple,,,,0.3,14,,,,,,0.9129254300147857,36.4440990147491,23,,70.0,,,,,,47,,,0.4059065403933435,,,,,,,,0.02505002057110317
real_model_analysis_phi_2_t0091,completed,0.0000,0.3,kv_cache_real,,24,,,code_simple,,,,0.3,14,,,,,,0.936594255833645,70.15910406255237,24,,70.0,,,,,,47,,,0.3900412053126169,,,,,,,,0.013349575487717138
real_model_analysis_phi_2_t0092,completed,0.0000,0.3,kv_cache_real,,25,,,code_simple,,,,0.3,14,,,,,,0.9483017814931584,71.20349383300082,25,,70.0,,,,,,47,,,0.3839145676746958,,,,,,,,0.013318191712857313
real_model_analysis_phi_2_t0093,completed,0.0000,0.3,kv_cache_real,,26,,,code_simple,,,,0.3,14,,,,,,0.9426123956816268,73.72831279344149,26,,70.0,,,,,,47,,,0.3868241016753922,,,,,,,,0.012784944615814902
real_model_analysis_phi_2_t0094,completed,0.0001,0.3,kv_cache_real,,27,,,code_simple,,,,0.3,14,,,,,,0.9468017323567575,60.56405631879587,27,,70.0,,,,,,47,,,0.3857392247575267,,,,,,,,0.015633063402705417
real_model_analysis_phi_2_t0095,completed,0.0000,0.3,kv_cache_real,,28,,,code_simple,,,,0.3,14,,,,,,0.9381606679531566,51.06560044841084,28,,70.0,,,,,,47,,,0.3794527721432523,,,,,,,,0.018371676034651466
real_model_analysis_phi_2_t0096,completed,0.0000,0.3,kv_cache_real,,29,,,code_simple,,,,0.3,14,,,,,,0.7414904220418995,17.135748714089996,29,,70.0,,,,,,47,,,0.34843524792431263,,,,,,,,0.04327155086209939
real_model_analysis_phi_2_t0097,completed,0.0000,0.3,kv_cache_real,,30,,,code_simple,,,,0.3,14,,,,,,0.7444787930324773,13.419821565422279,30,,70.0,,,,,,47,,,0.37879775398850063,,,,,,,,0.055476057517091955
real_model_analysis_phi_2_t0098,completed,0.0000,0.3,kv_cache_real,,31,,,code_simple,,,,0.3,14,,,,,,0.8727916283905921,30.799274232581126,31,,70.0,,,,,,47,,,0.27381615053031755,,,,,,,,0.028338058286688658
real_model_analysis_phi_2_t0099,completed,0.0000,0.5,kv_cache_real,,0,,,code_simple,,,,0.5,23,,,,,,0.7408160941361257,2.566908094633313,0,,50.0,,,,,,47,,,0.4056424990408427,,,,,,,,0.28860250029401713
real_model_analysis_phi_2_t0100,completed,0.0000,0.5,kv_cache_real,,1,,,code_simple,,,,0.5,23,,,,,,0.8307718580066578,4.1426094227479675,1,,50.0,,,,,,47,,,0.3231680691107292,,,,,,,,0.2005431295175232
