trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0062,completed,0.1633,3,768,10,0.8333333333333334,12L-768H,12,0.9334009289741516,0.0021673752926290035,0.13319888710975647,0.2698262454941869,0.06659907102584839,0.3065868318080902,0.029081815853714943
quantization_sensitivity_t0063,completed,0.1595,4,768,10,0.8333333333333334,12L-768H,12,0.9830639362335205,0.0006297747604548931,0.033872779458761215,0.2698262454941869,0.016936063766479492,0.3065868318080902,0.029081815853714943
quantization_sensitivity_t0064,completed,0.1569,6,768,10,0.8333333333333334,12L-768H,12,0.9989450573921204,4.095863550901413e-05,0.002110667759552598,0.2698262454941869,0.0010549426078796387,0.3065868318080902,0.029081815853714943
quantization_sensitivity_t0065,completed,0.1637,8,768,10,0.8333333333333334,12L-768H,12,0.9999353289604187,2.2063031792640686e-06,0.00013041874626651406,0.2698262454941869,6.467103958129883e-05,0.3065868318080902,0.029081815853714943
quantization_sensitivity_t0066,completed,0.1022,16,768,10,0.8333333333333334,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2698262454941869,-4.76837158203125e-07,0.3065868318080902,0.029081815853714943
quantization_sensitivity_t0067,completed,0.1634,2,768,11,0.9166666666666666,12L-768H,12,0.7527633905410767,0.008854035288095474,0.49447205662727356,0.2727508544921875,0.24723660945892334,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0068,completed,0.1666,3,768,11,0.9166666666666666,12L-768H,12,0.9371426701545715,0.002236559521406889,0.12571485340595245,0.2727508544921875,0.06285732984542847,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0069,completed,0.1663,4,768,11,0.9166666666666666,12L-768H,12,0.9841494560241699,0.000535148661583662,0.03170173242688179,0.2727508544921875,0.015850543975830078,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0070,completed,0.1635,6,768,11,0.9166666666666666,12L-768H,12,0.9990409016609192,3.7455931305885315e-05,0.0019188905134797096,0.2727508544921875,0.0009590983390808105,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0071,completed,0.1782,8,768,11,0.9166666666666666,12L-768H,12,0.9999390244483948,2.2258609533309937e-06,0.0001221505954163149,0.2727508544921875,6.097555160522461e-05,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0072,completed,0.1054,16,768,11,0.9166666666666666,12L-768H,12,1.0000004768371582,-5.122274160385132e-09,0.0,0.2727508544921875,-4.76837158203125e-07,0.32142847776412964,0.030011096969246864
quantization_sensitivity_t0073,completed,0.3907,2,1024,0,0.0,24L-1024H,24,-0.006660362705588341,0.029028061777353287,2.0133142471313477,0.09238719940185547,1.0066603627055883,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0074,completed,0.3724,3,1024,0,0.0,24L-1024H,24,-0.010704677551984787,0.03249315917491913,2.021402597427368,0.09238719940185547,1.0107046775519848,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0075,completed,0.3694,4,1024,0,0.0,24L-1024H,24,0.006713882554322481,0.02915138565003872,1.9865658283233643,0.09238719940185547,0.9932861174456775,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0076,completed,0.3782,6,1024,0,0.0,24L-1024H,24,-0.004618635401129723,0.03236239030957222,2.009230613708496,0.09238719940185547,1.0046186354011297,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0077,completed,0.3891,8,1024,0,0.0,24L-1024H,24,0.07841198891401291,0.026542887091636658,1.8431700468063354,0.09238719940185547,0.9215880110859871,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0078,completed,0.3089,16,1024,0,0.0,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.09238719940185547,-4.76837158203125e-07,7.417738914489746,0.037592776119709015
quantization_sensitivity_t0079,completed,0.3768,2,1024,1,0.041666666666666664,24L-1024H,24,0.008680824190378189,0.03413920849561691,1.9826319217681885,0.2686619758605957,0.9913191758096218,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0080,completed,0.3757,3,1024,1,0.041666666666666664,24L-1024H,24,0.03635431453585625,0.02907557599246502,1.927285075187683,0.2686619758605957,0.9636456854641438,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0081,completed,0.3798,4,1024,1,0.041666666666666664,24L-1024H,24,0.16695019602775574,0.026398546993732452,1.6660943031311035,0.2686619758605957,0.8330498039722443,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0082,completed,0.3942,6,1024,1,0.041666666666666664,24L-1024H,24,0.7915307879447937,0.006783680059015751,0.41693732142448425,0.2686619758605957,0.2084692120552063,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0083,completed,0.4375,8,1024,1,0.041666666666666664,24L-1024H,24,0.9827965497970581,0.0005407272838056087,0.03440701961517334,0.2686619758605957,0.017203450202941895,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0084,completed,0.3255,16,1024,1,0.041666666666666664,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.2686619758605957,-4.76837158203125e-07,0.21085283160209656,0.020434614270925522
quantization_sensitivity_t0085,completed,0.3779,2,1024,2,0.08333333333333333,24L-1024H,24,0.02083780989050865,0.02926877699792385,1.9583179950714111,0.2694368362426758,0.9791621901094913,0.22085216641426086,0.020873108878731728
quantization_sensitivity_t0086,completed,0.3791,3,1024,2,0.08333333333333333,24L-1024H,24,0.02920714020729065,0.02824036218225956,1.9415793418884277,0.2694368362426758,0.9707928597927094,0.22085216641426086,0.020873108878731728
quantization_sensitivity_t0087,completed,0.3807,4,1024,2,0.08333333333333333,24L-1024H,24,0.15604524314403534,0.02783002331852913,1.6879042387008667,0.2694368362426758,0.8439547568559647,0.22085216641426086,0.020873108878731728
quantization_sensitivity_t0088,completed,0.3839,6,1024,2,0.08333333333333333,24L-1024H,24,0.8078627586364746,0.005635538604110479,0.38427409529685974,0.2694368362426758,0.1921372413635254,0.22085216641426086,0.020873108878731728
quantization_sensitivity_t0089,completed,0.4053,8,1024,2,0.08333333333333333,24L-1024H,24,0.9856486320495605,0.00044020451605319977,0.02870326302945614,0.2694368362426758,0.014351367950439453,0.22085216641426086,0.020873108878731728
quantization_sensitivity_t0090,completed,0.3135,16,1024,2,0.08333333333333333,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.2694368362426758,-4.76837158203125e-07,0.22085216641426086,0.020873108878731728
