trial_id,status,duration_s,cfg_input_len,cfg_kv_policy,cfg_prompt,cfg_prune_fraction,cfg_quant_level,metric_combined_quality,metric_combined_speed_factor,metric_kv_memory_saved_pct,metric_kv_quality,metric_kv_speed_factor,metric_prune_quality,metric_prune_speed_factor,metric_quality_speed_score,metric_quant_cosine_sim,metric_quant_speed_factor,metric_quant_top_agree
optimization_stacking_t0067,completed,0.0158,41,window_50,reasoning,0.25,fp16,0.13414618057044703,1.3445378151260503,50.0,0.17886264344178682,1.1764705882352942,0.7499993605477469,1.1428571428571428,0.18036461253169347,0.9999948740005493,1.0,1.0
optimization_stacking_t0068,completed,0.0174,41,window_50,reasoning,0.25,int8_sim,0.13414135112148498,2.0168067226890756,50.0,0.17886264344178682,1.1764705882352942,0.7499993605477469,1.1428571428571428,0.2705371787324067,0.999958872795105,1.5,1.0
optimization_stacking_t0069,completed,0.0182,41,window_50,reasoning,0.25,int4_sim,0.13401629717816324,2.6890756302521006,50.0,0.17886264344178682,1.1764705882352942,0.7499993605477469,1.1428571428571428,0.3603799587984221,0.9990266561508179,2.0,1.0
optimization_stacking_t0070,completed,0.0178,41,window_50,reasoning,0.5,fp16,0.08943069957975187,1.5686274509803921,50.0,0.17886264344178682,1.1764705882352942,0.4999990846770931,1.3333333333333333,0.14028345032117942,0.9999948740005493,1.0,1.0
optimization_stacking_t0071,completed,0.0167,41,window_50,reasoning,0.5,int8_sim,0.08942751193333388,2.3529411764705883,50.0,0.17886264344178682,1.1764705882352942,0.4999990846770931,1.3333333333333333,0.2104176751372562,0.9999592304229736,1.5,1.0
optimization_stacking_t0072,completed,0.0184,41,window_50,reasoning,0.5,int4_sim,0.08934451585519318,3.1372549019607843,50.0,0.17886264344178682,1.1764705882352942,0.4999990846770931,1.3333333333333333,0.28029652033001784,0.9990311861038208,2.0,1.0
optimization_stacking_t0073,completed,0.0011,25,full,creative,0.0,fp16,0.9999942779541016,1.0,0.0,1.0,1.0,1.0,1.0,0.9999942779541016,0.9999942779541016,1.0,1.0
optimization_stacking_t0074,completed,0.0014,25,full,creative,0.0,int8_sim,0.9999666810035706,1.5,0.0,1.0,1.0,1.0,1.0,1.4999500215053558,0.9999666810035706,1.5,1.0
optimization_stacking_t0075,completed,0.0010,25,full,creative,0.0,int4_sim,0.9992245435714722,2.0,0.0,1.0,1.0,1.0,1.0,1.9984490871429443,0.9992245435714722,2.0,1.0
optimization_stacking_t0076,completed,0.0138,25,full,creative,0.25,fp16,0.7499951767954616,1.1428571428571428,0.0,1.0,1.0,0.7499994683268432,1.1428571428571428,0.8571373449090989,0.9999942779541016,1.0,1.0
optimization_stacking_t0077,completed,0.0145,25,full,creative,0.25,int8_sim,0.7499738979523614,1.7142857142857142,0.0,1.0,1.0,0.7499994683268432,1.1428571428571428,1.285669539346905,0.9999659061431885,1.5,1.0
optimization_stacking_t0078,completed,0.0146,25,full,creative,0.25,int4_sim,0.7494186810798708,2.2857142857142856,0.0,1.0,1.0,0.7499994683268432,1.1428571428571428,1.7129569853254187,0.9992256164550781,2.0,1.0
optimization_stacking_t0079,completed,0.0206,25,full,creative,0.5,fp16,0.499996427131734,1.3333333333333333,0.0,1.0,1.0,0.49999928815060996,1.3333333333333333,0.666661902842312,0.9999942779541016,1.0,1.0
optimization_stacking_t0080,completed,0.0155,25,full,creative,0.5,int8_sim,0.49998244986243356,2.0,0.0,1.0,1.0,0.49999928815060996,1.3333333333333333,0.9999648997248671,0.9999663233757019,1.5,1.0
optimization_stacking_t0081,completed,0.0142,25,full,creative,0.5,int4_sim,0.49961012997891624,2.6666666666666665,0.0,1.0,1.0,0.49999928815060996,1.3333333333333333,1.3322936799437766,0.999221682548523,2.0,1.0
optimization_stacking_t0082,completed,0.0024,25,h2o_50,creative,0.0,fp16,0.8742522251472093,1.1764705882352942,50.0,0.8742572276871932,1.1764705882352942,1.0,1.0,1.0285320295849523,0.9999942779541016,1.0,1.0
optimization_stacking_t0083,completed,0.0024,25,h2o_50,creative,0.0,int8_sim,0.8742282546431199,1.7647058823529411,50.0,0.8742572276871932,1.1764705882352942,1.0,1.0,1.5427557434878587,0.9999668598175049,1.5,1.0
